appid,name,price
10230,Dead Mountaineer's Hotel,5.59
10240,A Stroke of Fate: Operation Valkyrie,4.99
10250,PT Boats: Knights of the Sea,4.99
10260,PT Boats: South Gambit,4.99
10270,Disciples III: Reincarnation,9.99
10460,The Club™,9.99
10500,Total War: EMPIRE – Definitive Edition,19.99
10680,Aliens vs. Predator™,9.99
11020,TrackMania Nations Forever,0.0
11040,Sherlock Holmes - Nemesis,6.99
11050,Dracula Origin,6.99
11130,Sherlock Holmes: The Mystery of the Mummy,0.0
11140,Sherlock Holmes: The Awakened - Remastered Edition,6.99
11150,Sherlock Holmes: The Silver Earring,6.99
11190,Sherlock Holmes versus Jack the Ripper,6.99
11200,Shadowgrounds Survivor,6.99
11230,Gumboy Tournament,1.79
11240,Space Trader: Merchant Marine,3.99
11250,Pacific Storm,5.59
11260,Pacific Storm Allies,5.59
11280,Penguins Arena: Sedna's World,4.79
11330,Obulis,3.99
11340,Larva Mortus,3.99
11360,Chains,3.99
11450,Overlord™,3.49
11480,Soldiers: Heroes of World War II,3.99
11560,Maelstrom: The Battle for Earth Begins,3.49
11590,Hospital Tycoon,3.49
12100,Grand Theft Auto III,5.99
12110,Grand Theft Auto: Vice City,5.99
12120,Grand Theft Auto: San Andreas,9.99
12130,Manhunt,5.99
12140,Max Payne,5.99
12150,Max Payne 2: The Fall of Max Payne,5.99
12170,Grand Theft Auto,0.0
12180,Grand Theft Auto 2,0.0
12200,Bully: Scholarship Edition,9.99
12210,Grand Theft Auto IV,19.99
12220,Grand Theft Auto: Episodes from Liberty City,14.99
12310,Culpa Innata,6.99
12320,Sacred Gold,6.99
12330,Darkstar One,6.99
12340,Jack Keane,6.99
12360,FlatOut: Ultimate Carnage,16.99
12390,Exodus from the Earth ,10.99
12420,Perimeter 2: New Earth,10.99
12430,SlamIt Pinball Big Score,3.99
12440,Ankh 2: Heart of Osiris ,10.99
12450,Ankh 3: Battle of the Gods,10.99
12460,BC Kings,3.99
12470,Port Royale 2,2.99
12480,9th Company: Roots Of Terror,6.99
12500,PuzzleQuest: Challenge of the Warlords,6.99
12510,Prison Tycoon 3™: Lockdown,6.99
12520,18 Wheels of Steel: American Long Haul,6.99
12530,Hunting Unlimited™ 2008,4.99
12540,Mahjongg Investigations: Under Suspicion,5.99
12560,Ride! Carnival Tycoon,4.99
12590,Sprint Cars Road to Knoxville,4.99
12600,Midnight Outlaw: 6 Hours to SunUp,4.99
12640,Drakensang,6.99
12670,Mission Runway,4.99
12710,Overlord™: Raising Hell,6.99
12770,Rise of the Argonauts,4.99
12790,Damnation,6.99
12810,Overlord II,6.99
12830,Operation Flashpoint: Dragon Rising,6.99
13000,Ninja Reflex: Steamworks Edition,3.99
13140,America's Army 3,0.0
13200,Unreal 2: The Awakening,8.99
13210,Unreal Tournament 3 Black,13.99
13230,Unreal Tournament 2004: Editor's Choice Edition,8.99
13240,Unreal Tournament: Game of the Year Edition,5.99
13250,Unreal Gold,5.99
13500,Prince of Persia: Warrior Within™,8.59
13520,Far Cry®,8.59
13530,Prince of Persia: The Two Thrones™,8.59
13540,Tom Clancy's Rainbow Six® Vegas,8.59
13560,Tom Clancy's Splinter Cell®,4.29
